threshold,threshold_bps,model,n_total,n_train,n_test,events_total,events_test,base_rate_all,base_rate_test,AUROC,AUPRC,Brier
0.001,10,Logistic,690,482,208,70,28,0.10144927536231885,0.1346153846153846,0.7678571428571429,0.3387735184980085,0.12065875187154523
0.001,10,RandomForest,690,482,208,70,28,0.10144927536231885,0.1346153846153846,0.6684523809523809,0.19365739626617393,0.12158355122103558
0.0015,15,Logistic,690,482,208,20,8,0.028985507246376812,0.038461538461538464,0.5912499999999999,0.05378430320393647,0.037656053409728635
0.0015,15,RandomForest,690,482,208,20,8,0.028985507246376812,0.038461538461538464,0.579375,0.07856190335728705,0.03773040272489276
0.002,20,Logistic,690,482,208,5,1,0.007246376811594203,0.004807692307692308,0.08695652173913049,0.005263157894736842,0.005171248983524992
0.002,20,RandomForest,690,482,208,5,1,0.007246376811594203,0.004807692307692308,0.5265700483091788,0.009345794392523364,0.0050608668275536044
