asset,pair,mean,std,min,max
BTC,spread_rel_bc,4.2739977600707036e-05,0.0006326961034758033,-0.0024347254672896224,0.0023756826418772636
BTC,spread_rel_bk,5.699743762310472e-05,0.000669248061087304,-0.0030557710037609764,0.0022355182409981023
BTC,spread_rel_kc,-1.417569225077042e-05,0.0003383830514083422,-0.003549899431867898,0.0010686244844007042
ETH,spread_rel_bc,4.309472866055002e-05,0.0007229883493712622,-0.010091268465916237,0.0022400249825842433
ETH,spread_rel_bk,0.00010353091850512717,0.0007030577589643932,-0.0022788992428505184,0.003539074952006116
ETH,spread_rel_kc,-6.025520189724377e-05,0.0006140462785249875,-0.013582274729635357,0.001726338862897192
