asset,date_utc,close_binance,close_kraken,spread_abs,spread_rel
BTC,2024-02-28,62432.1,62487.8,55.700000000004366,-0.0008913739962040923
BTC,2024-02-29,61130.98,61180.9,49.919999999998254,-0.0008159409227389558
BTC,2024-03-01,62387.9,62434.3,46.400000000001455,-0.0007431812321112563
BTC,2024-03-02,61987.28,62033.7,46.419999999998254,-0.0007483029385639828
BTC,2024-03-03,63113.97,63178.2,64.22999999999593,-0.0010166481476204803
BTC,2024-03-04,68245.71,68323.1,77.38999999999942,-0.0011327062150282563
BTC,2024-03-05,63724.01,63802.3,78.29000000000087,-0.001227071751331854
BTC,2024-03-06,66074.04,66098.9,24.860000000000582,-0.0003761030818969502
BTC,2024-03-07,66823.17,66936.5,113.33000000000175,-0.0016930971891270241
BTC,2024-03-08,68124.19,68333.0,208.80999999999767,-0.0030557710037609764
BTC,2024-03-09,68313.27,68459.1,145.83000000000175,-0.0021301769961918904
BTC,2024-03-10,68955.88,69040.1,84.22000000000116,-0.0012198707707550271
BTC,2024-03-11,72078.1,72100.0,21.89999999999418,-0.00030374479889039296
BTC,2024-03-12,71452.01,71484.7,32.69000000000233,-0.0004573006531467527
BTC,2024-03-13,73072.41,73082.4,9.989999999990687,-0.00013669501822588526
BTC,2024-03-14,71388.94,71371.2,17.74000000000524,0.0002485596431054393
BTC,2024-03-15,69499.85,69488.8,11.05000000000291,0.00015901843174725983
BTC,2024-03-16,65300.63,65249.6,51.029999999998836,0.0007820737598391858
BTC,2024-03-17,68393.48,68355.6,37.879999999990105,0.0005541608880617055
BTC,2024-03-18,67609.99,67600.0,9.990000000005239,0.00014778106508872568
BTC,2024-03-19,61937.4,61908.4,29.0,0.000468434008955132
BTC,2024-03-20,67840.51,67866.0,25.49000000000524,-0.00037559308048218387
BTC,2024-03-21,65501.27,65499.9,1.3699999999953434,2.091606246712452e-05
BTC,2024-03-22,63796.64,63810.1,13.459999999999127,-0.000210938393765292
BTC,2024-03-23,63990.01,64034.5,44.48999999999796,-0.0006947817192294314
BTC,2024-03-24,67209.99,67193.9,16.09000000001106,0.00023945626016663724
