asset,date_utc,timestamp_utc,close_px,volume_base,source
USDT,2024-02-28,2024-02-28 00:00:00+00:00,1.0011,236501183.3905684,kraken
USDT,2024-02-29,2024-02-29 00:00:00+00:00,1.00061,254534935.6633312,kraken
USDT,2024-03-01,2024-03-01 00:00:00+00:00,1.00079,254492330.22398067,kraken
USDT,2024-03-02,2024-03-02 00:00:00+00:00,1.00081,111086625.49244632,kraken
USDT,2024-03-03,2024-03-03 00:00:00+00:00,1.0005,69264545.72768743,kraken
USDT,2024-03-04,2024-03-04 00:00:00+00:00,1.00139,306915887.634894,kraken
USDT,2024-03-05,2024-03-05 00:00:00+00:00,1.00134,301605466.00572073,kraken
USDT,2024-03-06,2024-03-06 00:00:00+00:00,1.00079,340441302.9765796,kraken
USDT,2024-03-07,2024-03-07 00:00:00+00:00,1.00167,281426379.2193338,kraken
USDT,2024-03-08,2024-03-08 00:00:00+00:00,1.00224,313854551.1504948,kraken
USDT,2024-03-09,2024-03-09 00:00:00+00:00,1.00216,88655471.18626332,kraken
USDT,2024-03-10,2024-03-10 00:00:00+00:00,1.00102,55474294.96849276,kraken
USDT,2024-03-11,2024-03-11 00:00:00+00:00,1.00029,313356186.44859296,kraken
USDT,2024-03-12,2024-03-12 00:00:00+00:00,1.00015,270134288.5864484,kraken
USDT,2024-03-13,2024-03-13 00:00:00+00:00,1.00055,298049762.449828,kraken
USDT,2024-03-14,2024-03-14 00:00:00+00:00,0.99989,212337019.01811928,kraken
USDT,2024-03-15,2024-03-15 00:00:00+00:00,1.00018,213855803.2761188,kraken
USDT,2024-03-16,2024-03-16 00:00:00+00:00,0.99923,88174495.59905088,kraken
USDT,2024-03-17,2024-03-17 00:00:00+00:00,0.99939,96798295.21848714,kraken
USDT,2024-03-18,2024-03-18 00:00:00+00:00,0.99994,184333325.83511448,kraken
USDT,2024-03-19,2024-03-19 00:00:00+00:00,0.99954,213357987.13440305,kraken
USDT,2024-03-20,2024-03-20 00:00:00+00:00,1.00014,265952008.8168976,kraken
