date,close_px,volume_base,peg,dev,abs_dev,is_offpeg,depeg,ret,ret_lag1,ret_lag2,ret_lag3,ret_vol_7,ret_vol_14,ret_vol_30,volume_lag1,volume_lag3,volume_vol_7,volume_vol_14
2024-03-29,1.00067,110192794.94340172,1.0,0.0006699999999999484,0.0006699999999999484,0,0.0,0.0005797796999610239,0.0005501017826994541,-0.00046010583245654704,-0.00025996620585745146,0.00042095965118836825,0.0004811169312945949,0.0005289116255708636,137377294.2180951,153636803.73273548,71739663.01744504,69769893.06156535
2024-03-30,1.00042,51441156.52009451,1.0,0.00042000000000008697,0.00042000000000008697,0,0.0,-0.0002498638255156207,0.0005797796999610239,0.0005501017826994541,-0.00046010583245654704,0.00043299032634320004,0.0004004329005524394,0.0005232646206352509,110192794.94340172,205743827.12829337,69457852.12847547,72896408.17544204
2024-03-31,1.00021,37141407.38061946,1.0,0.00021000000000004349,0.00021000000000004349,0,0.0,-0.00020993387160175294,-0.0002498638255156207,0.0005797796999610239,0.0005501017826994541,0.00041860359146952026,0.0004072496030500271,0.000523321208857687,51441156.52009451,137377294.2180951,70431187.3527289,77670741.36316073
2024-04-01,1.00047,90939287.88504478,1.0,0.00046999999999997044,0.00046999999999997044,0,0.0,0.00025991163150888516,-0.00020993387160175294,-0.0002498638255156207,0.0005797796999610239,0.00042540159289823,0.0003871912769811507,0.0005257702382729563,37141407.38061946,110192794.94340172,58995288.28079341,77873189.10207742
2024-04-02,1.00028,224772172.969452,1.0,0.000280000000000058,0.000280000000000058,0,0.0,-0.0001899287772795875,0.00025991163150888516,-0.00020993387160175294,-0.0002498638255156207,0.0004182081105644593,0.00037270802558277377,0.0005238758406691594,90939287.88504478,51441156.52009451,71987798.44970804,78794147.77547725
2024-04-03,1.00037,273013878.46726,1.0,0.00036999999999998145,0.00036999999999998145,0,0.0,8.997075956377579e-05,-0.0001899287772795875,0.00025991163150888516,-0.00020993387160175294,0.00035556509316684654,0.00033845471397200995,0.0004963109983585788,224772172.969452,37141407.38061946,87720969.83703792,79698459.09227511
2024-04-04,1.00051,292304848.0371229,1.0,0.0005100000000000104,0.0005100000000000104,0,0.0,0.00013993842732047354,8.997075956377579e-05,-0.0001899287772795875,0.00025991163150888516,0.0003024258235067888,0.0003321178285666922,0.0004973100509725649,273013878.46726,90939287.88504478,106747943.52708739,87889338.77578527
2024-04-05,1.0004,230589503.4686572,1.0,0.00039999999999995595,0.00039999999999995595,0,0.0,-0.00010994997287321301,0.00013993842732047354,8.997075956377579e-05,-0.0001899287772795875,0.0001997892658281124,0.00032031473652766534,0.0004877920181483225,292304848.0371229,224772172.969452,108154785.41119722,90769071.96748726
2024-04-06,1.00033,83958239.33852516,1.0,0.00032999999999994145,0.00032999999999994145,0,0.0,-6.997445935091385e-05,-0.00010994997287321301,0.00013993842732047354,8.997075956377579e-05,0.00017851511332023868,0.00031823387822410635,0.0004578065592461897,230589503.4686572,273013878.46726,102701748.04726899,87347993.6043367
2024-04-07,1.00003,43100152.90373578,1.0,2.999999999997449e-05,2.999999999997449e-05,0,0.0,-0.00029994601196700317,-6.997445935091385e-05,-0.00010994997287321301,0.00013993842732047354,0.00019732801306656335,0.00031518379788543526,0.0004449584271506711,83958239.33852516,292304848.0371229,101374107.37477538,87199423.51520315
2024-04-08,1.00007,143008436.75964302,1.0,7.00000000000145e-05,7.00000000000145e-05,0,0.0,3.999800010536754e-05,-0.00029994601196700317,-6.997445935091385e-05,-0.00010994997287321301,0.00015782823334985774,0.00031154948827025555,0.00044543799469714163,43100152.90373578,230589503.4686572,95765959.02840887,85067013.67656289
2024-04-09,0.99969,145174656.51274678,1.0,-0.00031000000000003247,0.00031000000000003247,0,0.0,-0.000380045610047017,3.999800010536754e-05,-0.00029994601196700317,-6.997445935091385e-05,0.00019618654903453327,0.00032038241949095176,0.0004021215402753175,143008436.75964302,83958239.33852516,94893905.12742773,85056796.80245355
2024-04-10,0.99997,162150830.58648866,1.0,-2.999999999997449e-05,2.999999999997449e-05,0,0.0,0.0002800476099237005,-0.000380045610047017,3.999800010536754e-05,-0.00029994601196700317,0.00023386163664497055,0.0003031584651900405,0.00038466659790145706,145174656.51274678,43100152.90373578,84056516.73773935,83555844.12725793
2024-04-11,1.00012,128370333.20296931,1.0,0.00011999999999989797,0.00011999999999989797,0,0.0,0.00014999325058482084,0.0002800476099237005,-0.000380045610047017,3.999800010536754e-05,0.0002353002645276007,0.0002671503558257918,0.00038494838011311484,162150830.58648866,143008436.75964302,59338424.27154112,83650808.98694964
2024-04-12,1.00044,260235110.865581,1.0,0.00043999999999999595,0.00043999999999999595,0,0.0,0.0003199104278094495,0.00014999325058482084,0.0002800476099237005,-0.000380045610047017,0.00027201025780335304,0.00023043255927229528,0.00038234548745590114,128370333.20296931,145174656.51274678,67848444.39064294,88458245.64189152
2024-04-13,1.00132,165257316.49508736,1.0,0.0013199999999999878,0.0013199999999999878,0,0.0,0.0008792263375125033,0.0003199104278094495,0.00014999325058482084,0.0002800476099237005,0.0004227932549818333,0.0003218831522846306,0.00039433079864212083,260235110.865581,162150830.58648866,63899334.737814516,83316110.67598869
2024-04-14,1.00088,67042491.30551312,1.0,0.0008799999999999919,0.0008799999999999919,0,0.0,-0.000439516538890292,0.0008792263375125033,0.0003199104278094495,0.00014999325058482084,0.0004495173578300456,0.0003421362447669514,0.0004013018545727509,165257316.49508736,128370333.20296931,57575633.53604963,80169309.11052234
2024-04-15,1.00025,256139188.55721927,1.0,0.0002500000000000835,0.0002500000000000835,0,0.0,-0.0006296442718000666,-0.000439516538890292,0.0008792263375125033,0.0003199104278094495,0.0005331886072583364,0.00038020402357974133,0.0003780753996520021,67042491.30551312,260235110.865581,69030771.80244139,80587502.96779059
2024-04-16,1.00042,207417327.6748981,1.0,0.00042000000000008697,0.00042000000000008697,0,0.0,0.00016994306948086988,-0.0006296442718000666,-0.000439516538890292,0.0008792263375125033,0.0005031059220049354,0.00037968404223809494,0.00037819273028951795,256139188.55721927,165257316.49508736,69428520.22048956,79923456.46948634
2024-04-17,0.99996,190908638.94587845,1.0,-4.0000000000040004e-05,4.0000000000040004e-05,0,0.0,-0.00045991262470968425,0.00016994306948086988,-0.0006296442718000666,-0.000439516538890292,0.0005366395887222954,0.00039873842964514795,0.00037563904405739064,207417327.6748981,67042491.30551312,69178724.30053672,75088029.05640051
2024-04-18,1.00056,235984340.6934935,1.0,0.0005599999999998939,0.0005599999999998939,0,0.0,0.0005998440585353594,-0.00045991262470968425,0.00016994306948086988,-0.0006296442718000666,0.0005827496816357452,0.0004313623580285954,0.00038314049396759715,190908638.94587845,256139188.55721927,67151335.51565175,69299073.76134019
2024-04-19,1.0005,166757745.52130672,1.0,0.0004999999999999449,0.0004999999999999449,0,0.0,-5.9968216862992495e-05,0.0005998440585353594,-0.00045991262470968425,0.00016994306948086988,0.0005724161070619275,0.00043055663602518615,0.00036817081609196573,235984340.6934935,207417327.6748981,61684482.97355733,66752073.480740376
2024-04-20,1.00043,76166718.61338575,1.0,0.00042999999999993044,0.00042999999999993044,0,0.0,-6.996746515727315e-05,-5.9968216862992495e-05,0.0005998440585353594,-0.00045991262470968425,0.00042531794021777916,0.0004305565396690033,0.00036569479464487633,166757745.52130672,190908638.94587845,74174418.06341514,67473358.00173451
2024-04-21,1.00019,34206752.11163846,1.0,0.00018999999999991246,0.00018999999999991246,0,0.0,-0.00023992562420779967,-6.996746515727315e-05,-5.9968216862992495e-05,0.0005998440585353594,0.0004071812530462695,0.00042755192298982576,0.0003623523960249398,76166718.61338575,235984340.6934935,82456372.50622606,68694988.97726834
2024-04-22,1.0004,166590624.12309065,1.0,0.00039999999999995595,0.00039999999999995595,0,0.0,0.00020993806904097127,-0.00023992562420779967,-6.996746515727315e-05,-5.9968216862992495e-05,0.00034330037807820443,0.0004308253094297181,0.00036338961543247916,34206752.11163846,166757745.52130672,72648487.38241564,68537466.2152497
2024-04-23,1.0001,170614915.02865237,1.0,9.999999999998899e-05,9.999999999998899e-05,0,0.0,-0.000299925020993594,0.00020993806904097127,-0.00023992562420779967,-6.996746515727315e-05,0.0003551517278003541,0.0004255513544466789,0.0003621749487944556,166590624.12309065,76166718.61338575,69397779.29451975,68405597.93005738
2024-04-24,0.99962,194713217.39292377,1.0,-0.00038000000000004697,0.00038000000000004697,0,0.0,-0.0004800672186292254,-0.000299925020993594,0.00020993806904097127,-0.00023992562420779967,0.0003591288427479324,0.0004393627698081433,0.00037101320354743835,170614915.02865237,34206752.11163846,69796766.08894709,68910939.89581147
2024-04-25,0.99985,138415896.11198357,1.0,-0.00014999999999998348,0.00014999999999998348,0,0.0,0.00023006096717081802,-0.0004800672186292254,-0.000299925020993594,0.00020993806904097127,0.0002618818936897306,0.0004423270395093085,0.0003709318926105982,194713217.39292377,166590624.12309065,58412393.03098499,68543176.54931629
2024-04-26,0.99983,129677471.9379586,1.0,-0.00017000000000000348,0.00017000000000000348,0,0.0,-2.0003200512768923e-05,0.00023006096717081802,-0.0004800672186292254,-0.000299925020993594,0.00026336731460078187,0.0004314719953018617,0.00036087878196448375,138415896.11198357,170614915.02865237,56747282.1946566,63499258.141714044
2024-04-27,0.99926,29036313.85999264,1.0,-0.0007399999999999629,0.0007399999999999629,0,0.0,-0.0005702594835117615,-2.0003200512768923e-05,0.00023006096717081802,-0.0004800672186292254,0.0003175332217456036,0.0003611918976167717,0.00036099393924546265,129677471.9379586,194713217.39292377,66213084.44024172,72023467.28453583
2024-04-28,0.99964,20984241.23312541,1.0,-0.00036000000000002697,0.00036000000000002697,0,0.0,0.0003802091195934132,-0.0005702594835117615,-2.0003200512768923e-05,0.00023006096717081802,0.00037513440702353635,0.0003762697554713273,0.0003511175490877503,29036313.85999264,138415896.11198357,69295926.85050838,76865766.2506518
2024-04-29,0.99972,87639090.54968311,1.0,-0.00027999999999994696,0.00027999999999994696,0,0.0,8.002560823740994e-05,0.0003802091195934132,-0.0005702594835117615,-2.0003200512768923e-05,0.0003614455834088718,0.0003442030803500832,0.0003492956441169766,20984241.23312541,129677471.9379586,67111760.33298956,70939122.9980719
2024-04-30,0.99903,107113452.50810903,1.0,-0.0009700000000000264,0.0009700000000000264,0,0.0,-0.0006904315471270375,8.002560823740994e-05,0.0003802091195934132,-0.0005702594835117615,0.00042287662142982365,0.00037926870190636884,0.00036862848617011325,87639090.54968311,29036313.85999264,61646367.51238071,67737931.25955011
2024-05-01,0.99868,91517797.06905088,1.0,-0.0013199999999999878,0.0013199999999999878,0,0.0,-0.00035040121296992476,-0.0006904315471270375,8.002560823740994e-05,0.0003802091195934132,0.00040876244252882745,0.00037232515903508123,0.0003683843207139422,107113452.50810903,20984241.23312541,45835133.220999375,65459411.89551101
2024-05-02,1.00011,107574962.51012048,1.0,0.0001100000000000545,0.0001100000000000545,0,0.0,0.0014308659178594641,-0.00035040121296992476,-0.0006904315471270375,8.002560823740994e-05,0.000720388269859756,0.0005256816832829028,0.00045685351280096067,91517797.06905088,87639090.54968311,41247905.831355125,55930856.37860868
2024-05-03,1.00063,95415193.6384475,1.0,0.0006299999999999084,0.0006299999999999084,0,0.0,0.0005198076828658614,0.0014308659178594641,-0.00035040121296992476,-0.0006904315471270375,0.0007418250519241609,0.0005457731761874943,0.00046659278554742533,107574962.51012048,107113452.50810903,36384505.68753106,53422524.314489156
2024-05-04,1.00015,42582186.12171085,1.0,0.0001500000000000945,0.0001500000000000945,0,0.0,-0.00047981288218457797,0.0005198076828658614,0.0014308659178594641,-0.00035040121296992476,0.0007285846505155744,0.0005611267963237914,0.00047423723032276126,95415193.6384475,91517797.06905088,33664431.17787327,55461742.73113569
2024-05-05,1.00019,22864915.29528638,1.0,0.00018999999999991246,0.00018999999999991246,0,0.0,3.999320116095212e-05,-0.00047981288218457797,0.0005198076828658614,0.0014308659178594641,0.0007201916821399318,0.0005576637092961227,0.00047395933351362387,42582186.12171085,107574962.51012048,33127709.329044253,56586219.09010517
2024-05-06,1.00008,96931441.6329436,1.0,8.000000000008001e-05,8.000000000008001e-05,0,0.0,-0.00010998515211518362,3.999320116095212e-05,-0.00047981288218457797,0.0005198076828658614,0.0007237002873641111,0.0005549474354362577,0.0004741988891362486,22864915.29528638,95415193.6384475,33701395.787735544,53278426.26427944
2024-05-07,0.99999,90524394.64173111,1.0,-9.99999999995449e-06,9.99999999995449e-06,0,0.0,-8.999685017102425e-05,-0.00010998515211518362,3.999320116095212e-05,-0.00047981288218457797,0.0006532722830579952,0.0005496962456594423,0.00047128708497319984,96931441.6329436,42582186.12171085,32067566.40279993,48677946.544263385
2024-05-08,0.99953,97874378.73039864,1.0,-0.00046999999999997044,0.00046999999999997044,0,0.0,-0.00046011043461955303,-8.999685017102425e-05,-0.00010998515211518362,3.999320116095212e-05,0.0006680688136702728,0.0005484018553556196,0.00047856341027885586,90524394.64173111,22864915.29528638,32593195.265259683,38392766.88685199
2024-05-09,0.99988,89798651.55581833,1.0,-0.00012000000000000899,0.00012000000000000899,0,0.0,0.00035010328404378,-0.00046011043461955303,-8.999685017102425e-05,-0.00010998515211518362,0.0003761499601201883,0.0005533004995051054,0.00047808248006309123,97874378.73039864,96931441.6329436,30639669.68029626,35018457.392780945
2024-05-10,0.99982,77198847.84120491,1.0,-0.00017999999999995797,0.00017999999999995797,0,0.0,-6.0009001368159615e-05,0.00035010328404378,-0.00046011043461955303,-8.999685017102425e-05,0.00028757741233824305,0.0005535269339368156,0.0004753927952825247,89798651.55581833,90524394.64173111,29525670.425800115,31873091.88409852
2024-05-11,0.99974,17885730.19526211,1.0,-0.000260000000000038,0.000260000000000038,0,0.0,-8.001760391562689e-05,-6.0009001368159615e-05,0.00035010328404378,-0.00046011043461955303,0.00023876645263193157,0.0005297196164365697,0.00047466111236827026,77198847.84120491,97874378.73039864,34889358.2090231,33233856.302446075
2024-05-12,0.99954,16077883.55103554,1.0,-0.00046000000000001595,0.00046000000000001595,0,0.0,-0.0002000720265966997,-8.001760391562689e-05,-6.0009001368159615e-05,0.00035010328404378,0.00023948881478400526,0.0005232344612628136,0.000471581768752944,17885730.19526211,89798651.55581833,36489430.42013544,33863849.34204602
2024-05-13,0.9998,98297658.83807264,1.0,-0.00019999999999997797,0.00019999999999997797,0,0.0,0.00026008582978950237,-0.0002000720265966997,-8.001760391562689e-05,-6.0009001368159615e-05,0.0002735109267112834,0.0005277356541939205,0.00044310700130385593,16077883.55103554,77198847.84120491,36664031.33744467,34302398.38829594
2024-05-14,0.99953,100498949.82523568,1.0,-0.00046999999999997044,0.00046999999999997044,0,0.0,-0.0002700904819527962,0.00026008582978950237,-0.0002000720265966997,-8.001760391562689e-05,0.0002871286164815984,0.0004960917713680852,0.0004390407555431118,98297658.83807264,17885730.19526211,37786472.26907427,33870650.63114607
2024-05-15,1.00039,136992511.29730776,1.0,0.00038999999999989043,0.00038999999999989043,0,0.0,0.0008600344543869495,-0.0002700904819527962,0.00026008582978950237,-0.0002000720265966997,0.0003973227452957252,0.0005280656984453133,0.00045460199806598756,100498949.82523568,16077883.55103554,44672913.96261702,37589481.407919176
2024-05-16,1.00009,97571918.65855548,1.0,8.999999999992347e-05,8.999999999992347e-05,0,0.0,-0.00029992801952420157,0.0008600344543869495,-0.0002700904819527962,0.00026008582978950237,0.0004110843609456807,0.00037994976466596724,0.00045680023773629874,136992511.29730776,98297658.83807264,45147496.11956041,37073435.068557456
2024-05-17,1.0004,94872751.70254476,1.0,0.00039999999999995595,0.00039999999999995595,0,0.0,0.00030992407108398424,-0.00029992801952420157,0.0008600344543869495,-0.0002700904819527962,0.00042123777426456704,0.00036149374859524564,0.0004523135052783073,97571918.65855548,100498949.82523568,45600910.74072158,37053188.7820215
2024-05-18,1.00022,31109281.01514719,1.0,0.000220000000000109,0.000220000000000109,0,0.0,-0.00017994421777803456,0.00030992407108398424,-0.00029992801952420157,0.0008600344543869495,0.0004292931497460765,0.0003401803622466848,0.0004397571984085754,94872751.70254476,136992511.29730776,42769724.0762448,37991301.67286742
2024-05-19,0.9999,29594225.31731414,1.0,-9.999999999998899e-05,9.999999999998899e-05,0,0.0,-0.00031998080388220406,-0.00017994421777803456,0.00030992407108398424,-0.00029992801952420157,0.0004439417181452323,0.0003507712767901581,0.00044329689857257174,31109281.01514719,97571918.65855548,39464222.875123166,37299212.05973628
2024-05-20,1.00013,89357598.87252474,1.0,0.00012999999999996348,0.00012999999999996348,0,0.0,0.00022999655106557276,-0.00031998080388220406,-0.00017994421777803456,0.00030992407108398424,0.00044172497016003965,0.0003558474284436689,0.000445508307789252,29594225.31731414,94872751.70254476,39072169.27143358,37038813.13345062
2024-05-21,0.9999,176473933.81581703,1.0,-9.999999999998899e-05,9.999999999998899e-05,0,0.0,-0.00022999655106557276,0.00022999655106557276,-0.00031998080388220406,-0.00017994421777803456,0.0004371622843582424,0.00036061432409027094,0.0004453352578629227,89357598.87252474,31109281.01514719,52896340.30751247,45696212.55508639
2024-05-22,0.99954,91810667.86753142,1.0,-0.00046000000000001595,0.00046000000000001595,0,0.0,-0.0003601008321231997,-0.00022999655106557276,0.00022999655106557276,-0.00031998080388220406,0.0002747803049327814,0.00035181916928914256,0.00044779644955904324,176473933.81581703,29594225.31731414,49374029.65760589,45566816.2258369
2024-05-23,0.99951,140602831.7708457,1.0,-0.0004899999999999904,0.0004899999999999904,0,0.0,-3.0014256774194383e-05,-0.0003601008321231997,-0.00022999655106557276,0.00022999655106557276,0.00026429607259427176,0.0003371428159761699,0.00044486033993218184,91810667.86753142,89357598.87252474,53388095.236133784,48186174.94223941
2024-05-24,0.9998,80135982.4250342,1.0,-0.00019999999999997797,0.00019999999999997797,0,0.0,0.0002901000865636967,-3.0014256774194383e-05,-0.0003601008321231997,-0.00022999655106557276,0.0002594473929198218,0.00034729299930232743,0.00043956646741781714,140602831.7708457,176473933.81581703,53610574.922904894,48153185.07002699
2024-05-25,0.99991,20615154.66703401,1.0,-9.00000000000345e-05,9.00000000000345e-05,0,0.0,0.0001100159524239938,0.0002901000865636967,-3.0014256774194383e-05,-0.0003601008321231997,0.0002649820087184061,0.0003476985677791257,0.00043800006920612534,80135982.4250342,91810667.86753142,55680948.82823397,47861685.31008284
2024-05-26,0.99948,26014836.38260239,1.0,-0.0005199999999999649,0.0005199999999999649,0,0.0,-0.00043013119664453404,0.0001100159524239938,0.0002901000865636967,-3.0014256774194383e-05,0.00028648126065491236,0.00036357387000286316,0.0004450542141651403,20615154.66703401,140602831.7708457,56338530.413013,46807034.53843736
2024-05-27,0.99921,86168527.0908616,1.0,-0.0007899999999999574,0.0007899999999999574,0,0.0,-0.00027017696755614253,-0.00043013119664453404,0.0001100159524239938,0.0002901000865636967,0.0002635487756253948,0.0003615284748043435,0.0004353328793517873,26014836.38260239,80135982.4250342,56350759.96026306,46688168.27313569
2024-05-28,0.9989,85115461.275102,1.0,-0.0010999999999999899,0.0010999999999999899,0,0.0,-0.0003102932295892764,-0.00027017696755614253,-0.00043013119664453404,0.0001100159524239938,0.0002702149186809833,0.00036363171059568706,0.00043269217855521004,86168527.0908616,20615154.66703401,41216421.51509299,46497371.49328353
2024-05-29,0.9987,90920230.04239216,1.0,-0.0012999999999999678,0.0012999999999999678,0,0.0,-0.00020024028901506575,-0.0003102932295892764,-0.00027017696755614253,-0.00043013119664453404,0.0002551376337948737,0.00025474009883263965,0.0004333784817200889,85115461.275102,26014836.38260239,41160037.82119076,44082808.81708787
