date_utc,asset,close_binance,close_kraken,close_coinbase,spread_rel_bk,spread_rel_bc,spread_rel_kc
2024-02-28,BTC,62432.1,62487.8,62518.9,-0.0008913739962040923,-0.001388380153841573,-0.0004974495712496418
2024-02-29,BTC,61130.98,61180.9,61179.03,-0.0008159409227389558,-0.000785399833897249,3.056602891549076e-05
2024-03-01,BTC,62387.9,62434.3,62436.72,-0.0007431812321112563,-0.0007819116699275819,-3.875924295826394e-05
2024-03-02,BTC,61987.28,62033.7,62045.78,-0.0007483029385639828,-0.0009428521972002502,-0.00019469494943902266
2024-03-03,BTC,63113.97,63178.2,63154.49,-0.0010166481476204803,-0.0006416012543208893,0.0003754285720618533
2024-03-04,BTC,68245.71,68323.1,68360.14,-0.0011327062150282563,-0.0016739286958744604,-0.0005418362221024653
2024-03-05,BTC,63724.01,63802.3,63800.78,-0.001227071751331854,-0.0012032768251422077,2.3824160143570694e-05
2024-03-06,BTC,66074.04,66098.9,66122.28,-0.0003761030818969502,-0.0007295574199801536,-0.00035358732336521204
2024-03-07,BTC,66823.17,66936.5,66938.21,-0.0016930971891270241,-0.0017185998848789907,-2.5545947523908374e-05
2024-03-08,BTC,68124.19,68333.0,68289.16,-0.0030557710037609764,-0.0024157567613952713,0.0006419759739320074
2024-03-09,BTC,68313.27,68459.1,68480.0,-0.0021301769961918904,-0.0024347254672896224,-0.00030519859813071815
2024-03-10,BTC,68955.88,69040.1,69032.12,-0.0012198707707550271,-0.0011044134237799819,0.00011559836203800522
2024-03-11,BTC,72078.1,72100.0,72110.98,-0.00030374479889039296,-0.00045596384905588483,-0.00015226529995837623
2024-03-12,BTC,71452.01,71484.7,71475.93,-0.0004573006531467527,-0.0003346581149765715,0.00012269864834224542
2024-03-13,BTC,73072.41,73082.4,73135.04,-0.00013669501822588526,-0.0008563610548375511,-0.0007197644248229107
2024-03-14,BTC,71388.94,71371.2,71364.58,0.0002485596431054393,0.00034134580487976685,9.276310461014958e-05
2024-03-15,BTC,69499.85,69488.8,69506.88,0.00015901843174725983,-0.00010114106689873559,-0.0002601181350680992
2024-03-16,BTC,65300.63,65249.6,65254.22,0.0007820737598391858,0.0007112183702449038,-7.080001875747755e-05
2024-03-17,BTC,68393.48,68355.6,68343.64,0.0005541608880617055,0.000729255860530742,0.00017499799542441963
2024-03-18,BTC,67609.99,67600.0,67613.04,0.00014778106508872568,-4.510964157189434e-05,-0.0001928622052786988
2024-03-19,BTC,61937.4,61908.4,61906.27,0.000468434008955132,0.0005028569803995353,3.440685410383004e-05
2024-03-20,BTC,67840.51,67866.0,67858.8,-0.00037559308048218387,-0.00026953025989273627,0.00010610267201882628
2024-03-21,BTC,65501.27,65499.9,65484.7,2.091606246712452e-05,0.0002530362054036228,0.00023211528799871317
2024-03-22,BTC,63796.64,63810.1,63814.56,-0.000210938393765292,-0.0002808136575728204,-6.989000629320508e-05
2024-03-23,BTC,63990.01,64034.5,63998.86,-0.0006947817192294314,-0.00013828371317858856,0.0005568849195125569
2024-03-24,BTC,67209.99,67193.9,67204.93,0.00023945626016663724,7.52920953865921e-05,-0.0001641248640538162
2024-03-25,BTC,69880.01,69950.0,69890.28,-0.0010005718370265093,-0.00014694461089592714,0.0008544821969520555
2024-03-26,BTC,69988.0,70000.1,69992.4,-0.00017285689591883813,-6.286396808785621e-05,0.00011001194415416471
2024-03-27,BTC,69469.99,69437.3,69435.96,0.00047078443430259576,0.0004900918774652929,1.9298357796015964e-05
2024-03-28,BTC,70780.6,70742.2,70801.18,0.0005428160277742844,-0.00029067312154951175,-0.0008330369635082269
2024-03-29,BTC,69850.54,69917.1,69903.75,-0.0009519845645773461,-0.0007611894926954355,0.00019097687892277726
2024-03-30,BTC,69582.18,69652.0,69626.87,-0.00100241199104123,-0.0006418499065088401,0.0003609238789565872
2024-03-31,BTC,71280.01,71306.8,71288.9,-0.0003757004942026576,-0.00012470384590024253,0.00025109098330888813
2024-04-01,BTC,69649.8,69681.1,69681.82,-0.0004491892349576254,-0.0004595172743766529,-1.03326807480153e-05
2024-04-02,BTC,65463.99,65457.6,65464.14,9.762044437922057e-05,-2.2913307957672657e-06,-9.990202269516413e-05
2024-04-03,BTC,65963.28,65991.5,65987.92,-0.0004276308312434196,-0.00037340167715549377,5.425235406719686e-05
2024-04-04,BTC,68487.79,68527.4,68525.23,-0.0005780169683951009,-0.0005463681041275592,3.166716842839534e-05
2024-04-05,BTC,67820.62,67856.5,67856.51,-0.0005287629040696684,-0.0005289101959413678,-1.4736979536689176e-07
2024-04-06,BTC,68896.0,68908.6,68919.89,-0.00018285090685354888,-0.0003466343315405851,-0.00016381337811177676
2024-04-07,BTC,69360.39,69386.1,69350.34,-0.00037053530894526343,0.0001449163767619499,0.000515642749552514
2024-04-08,BTC,71620.0,71650.0,71622.53,-0.00041870202372640275,-3.53240802859478e-05,0.00038353853180006503
2024-04-09,BTC,69146.0,69159.9,69117.01,-0.0002009835179055397,0.00041943365316310377,0.000620541889760462
2024-04-10,BTC,70631.08,70612.2,70634.04,0.0002673758925511027,-4.190614043864116e-05,-0.00030919936053486197
2024-04-11,BTC,70006.23,70046.4,70020.73,-0.0005734770095250363,-0.00020708153142645624,0.00036660571804936204
2024-04-12,BTC,67116.52,67205.2,67148.61,-0.0013195407498228784,-0.0004778952237431966,0.0008427575790472819
2024-04-13,BTC,63924.51,64042.4,64024.77,-0.0018408117122405976,-0.0015659564259269398,0.00027536217623280734
2024-04-14,BTC,65661.84,65700.0,65777.05,-0.000580821917808283,-0.001751522757557633,-0.001171381203626587
2024-04-15,BTC,63419.99,63408.4,63452.18,0.00018278335362498233,-0.0005073111751243697,-0.0006899684140088125
2024-04-16,BTC,63793.39,63832.6,63814.94,-0.0006142629314801473,-0.0003376952168254732,0.0002767377043682018
2024-04-17,BTC,61277.37,61284.4,61279.36,-0.00011471108471317049,-3.24742294958158e-05,8.224628977848703e-05
2024-04-18,BTC,63470.08,63509.1,63513.85,-0.0006144001410820499,-0.0006891410298698331,-7.478683783146423e-05
2024-04-19,BTC,63818.01,63849.1,63848.37,-0.0004869293380799222,-0.00047550156722875325,1.1433338078958855e-05
2024-04-20,BTC,64940.59,64993.7,64968.87,-0.0008171561243628389,-0.0004352853912960031,0.00038218303627557404
2024-04-21,BTC,64941.15,64953.6,64952.92,-0.00019167528820573931,-0.00018120817355093966,1.0469121326739383e-05
2024-04-22,BTC,66819.32,66831.4,66859.17,-0.00018075335845102458,-0.0005960289366438998,-0.0004153506542184937
2024-04-23,BTC,66414.0,66419.8,66414.16,-8.732335839622962e-05,-2.4091248010948974e-06,8.49216492386784e-05
2024-04-24,BTC,64289.59,64291.3,64255.78,-2.6597688956409016e-05,0.0005261783453565094,0.0005527907372691043
2024-04-25,BTC,64498.34,64489.1,64484.44,0.00014328002716745836,0.0002155558767353849,7.226549536598625e-05
2024-04-26,BTC,63770.01,63750.8,63742.39,0.00030132955194295263,0.00043330662687735,0.00013193731832150668
2024-04-27,BTC,63461.98,63425.0,63422.0,0.000583050847457578,0.0006303806250198551,4.730219797544066e-05
2024-04-28,BTC,63118.62,63114.9,63108.94,5.894012348917066e-05,0.00015338555836930112,9.443986858270748e-05
2024-04-29,BTC,63866.0,63822.1,63844.85,0.000687849506675553,0.000331271825370516,-0.000356332578117069
2024-04-30,BTC,60672.0,60610.0,60622.1,0.0010229335093219216,0.0008231321580742801,-0.00019959717660722465
2024-05-01,BTC,58364.97,58272.2,58265.59,0.0015920112849696633,0.0017056379245452558,0.00011344603221208338
2024-05-02,BTC,59060.61,59124.1,59071.89,-0.0010738429845020825,-0.00019095376836597566,0.0008838383197151689
2024-05-03,BTC,62882.01,62925.8,62913.03,-0.0006958989794328962,-0.0004930616121969766,0.00020297861985030252
2024-05-04,BTC,63892.04,63895.3,63902.88,-5.1020967113402094e-05,-0.00016963241719303301,-0.00011861750205932609
2024-05-05,BTC,64012.0,64067.5,64023.45,-0.0008662738517969393,-0.0001788407216417598,0.0006880291518185366
2024-05-06,BTC,63165.19,63161.7,63162.24,5.525500421943441e-05,4.6705120021250934e-05,-8.549411800506945e-06
2024-05-07,BTC,62312.08,62325.0,62315.76,-0.00020730044123540292,-5.90540819850327e-05,0.00014827709715814485
2024-05-08,BTC,61193.03,61172.1,61169.53,0.00034214944394594937,0.0003841782011402284,4.201438199702423e-05
2024-05-09,BTC,63074.01,63051.9,63073.57,0.0003506635010206427,6.975980588963537e-06,-0.00034356704400906324
2024-05-10,BTC,60799.99,60794.6,60787.47,8.865919012546186e-05,0.00020596349872747943,0.0001172939094191694
2024-05-11,BTC,60825.99,60805.0,60814.63,0.0003452018748457686,0.0001867971571971605,-0.0001583500549127148
2024-05-12,BTC,61483.99,61444.6,61453.02,0.0006410652848256593,0.0005039622137366084,-0.000137015235378124
2024-05-13,BTC,62940.08,62910.0,62932.37,0.00047814337943097307,0.00012251246854355635,-0.0003554609495877159
